Date,Open,High,Low,Close,Adj Close,Volume,Growth
2016/1/1,430.721008,436.246002,427.515015,434.334015,434.334015,36278900,3.613007
2016/1/2,434.622009,436.062012,431.869995,433.437988,433.437988,30096600,-1.184021
2016/1/3,433.578003,433.743011,424.705994,430.010986,430.010986,39633800,-3.567017
2016/1/4,430.061005,434.516998,429.084015,433.091003,433.091003,38477500,3.029998
2016/1/5,433.069,434.182007,429.675995,431.959991,431.959991,34522600,-1.109009
2016/1/6,431.855988,431.855988,426.341003,429.105011,429.105011,34042500,-2.750977
2016/1/7,430.010986,458.765991,429.076996,458.048004,458.048004,87562200,28.037018
2016/1/8,457.537994,462.93399,447.937988,453.230011,453.230011,56993000,-4.307983
2016/1/9,453.382996,454.640015,446.889008,447.610992,447.610992,32278000,-5.772004
2016/1/10,448.238007,448.30899,440.351013,447.990997,447.990997,35995900,-0.24701
2016/1/11,448.697998,450.661987,443.855011,448.428009,448.428009,40450000,-0.269989
2016/1/12,448.182007,448.182007,435.690002,435.690002,435.690002,115607000,-12.492005
2016/1/13,434.665009,435.186005,424.442993,432.371002,432.371002,173888000,-2.294007
2016/1/14,432.287994,433.324005,427.845001,430.306,430.306,43945500,-1.981994
2016/1/15,430.255005,430.255005,364.330994,364.330994,364.330994,153351008,-65.924011
2016/1/16,365.072998,390.557007,354.914001,387.536011,387.536011,120352000,22.463013
2016/1/17,387.152008,390.964996,380.09201,382.299011,382.299011,45319600,-4.852997
2016/1/18,381.733002,388.104004,376.665009,387.167999,387.167999,54403900,5.434997
2016/1/19,387.026001,387.730011,378.971985,380.148987,380.148987,46819800,-6.877014
2016/1/20,379.73999,425.266998,376.598999,420.230011,420.230011,121720000,40.490021
2016/1/21,419.631989,422.877014,406.299988,410.261993,410.261993,68338000,-9.369996
2016/1/22,409.751007,410.410004,375.282013,382.492004,382.492004,91546600,-27.259003
2016/1/23,382.43399,394.542999,381.980988,387.490997,387.490997,56247400,5.057007
2016/1/24,388.10199,405.484985,387.51001,402.971008,402.971008,54824800,14.869018
2016/1/25,402.316986,402.316986,388.553986,391.726013,391.726013,59062400,-10.590973
2016/1/26,392.002014,397.765991,390.575012,392.153015,392.153015,58147000,0.151001
2016/1/27,392.444,396.842987,391.782013,394.971985,394.971985,47424400,2.527985
2016/1/28,395.145996,395.502014,379.734985,380.289001,380.289001,59247900,-14.856995
2016/1/29,380.108002,384.378998,365.451996,379.473999,379.473999,86125296,-0.634003
2016/1/30,378.86499,380.916992,376.490997,378.255005,378.255005,30284400,-0.609985
2016/1/31,378.292999,380.346985,367.834991,368.766998,368.766998,37894300,-9.526001
2016/2/1,369.350006,378.071991,367.957001,373.056,373.056,51656700,3.705994
2016/2/2,372.920013,375.882996,372.920013,374.447998,374.447998,40378700,1.527985
2016/2/3,374.645996,374.950012,368.045013,369.949005,369.949005,45933400,-4.696991
2016/2/4,370.174011,391.608002,369.993011,389.593994,389.593994,69285504,19.419983
2016/2/5,388.89801,391.093994,385.571991,386.549011,386.549011,43825000,-2.348999
2016/2/6,386.588989,386.631012,372.386993,376.522003,376.522003,49249300,-10.066986
2016/2/7,376.514008,380.871002,374.903015,376.619995,376.619995,37076300,0.105987
2016/2/8,376.756989,379.878998,373.334015,373.446991,373.446991,47671100,-3.309998
2016/2/9,373.423004,377.246002,372.89801,376.028992,376.028992,55318500,2.605988
2016/2/10,376.145996,385.483002,375.78299,381.648987,381.648987,85130896,5.502991
2016/2/11,382.114014,383.130005,376.398987,379.653992,379.653992,74375600,-2.460022
2016/2/12,379.686005,384.95401,379.600006,384.263,384.263,67042800,4.576995
2016/2/13,384.640991,391.859985,384.640991,391.859985,391.859985,61911700,7.218994
2016/2/14,392.932007,407.230011,392.932007,407.230011,407.230011,74469800,14.298004
2016/2/15,407.567993,410.381012,397.748993,400.184998,400.184998,74070496,-7.382995
2016/2/16,401.432007,408.945007,401.432007,407.488007,407.488007,73093104,6.056
2016/2/17,407.656006,421.166992,406.783997,416.321991,416.321991,83193600,8.665985
2016/2/18,416.571991,425.996002,415.638,422.372986,422.372986,76752600,5.800995
2016/2/19,422.730011,423.104004,417.604004,420.785004,420.785004,55711300,-1.945007
2016/2/20,421.601013,441.984009,421.601013,437.164001,437.164001,93992096,15.562988
2016/2/21,437.77301,448.04599,429.076996,438.798004,438.798004,89820704,1.024994
2016/2/22,438.989014,439.045013,432.916992,437.747986,437.747986,85385200,-1.241028
2016/2/23,438.255005,439.858002,417.821014,420.735992,420.735992,85244896,-17.519013
2016/2/24,420.955994,425.549988,413.907013,424.954987,424.954987,67743696,3.998993
2016/2/25,425.036987,427.718994,420.415009,424.544006,424.544006,70798000,-0.492981
2016/2/26,424.628998,432.152008,421.619995,432.152008,432.152008,61486000,7.52301
2016/2/27,432.838989,434.230988,428.102997,432.519012,432.519012,41893600,-0.319977
2016/2/28,432.571014,435.683014,423.820007,433.503998,433.503998,53033400,0.932984
2016/2/29,433.437988,441.506989,431.692993,437.696991,437.696991,60694700,4.259003
2016/3/1,437.916992,439.653015,432.319,435.122986,435.122986,74895800,-2.794006
2016/3/2,435.131012,435.916992,423.989014,423.989014,423.989014,74955296,-11.141998
2016/3/3,423.911987,425.372986,419.411011,421.651001,421.651001,100484000,-2.260986
2016/3/4,421.835999,425.178009,410.938995,410.938995,410.938995,90856096,-10.897004
2016/3/5,410.781006,411.256989,394.035004,400.570007,400.570007,135384992,-10.210999
2016/3/6,400.524994,411.907013,395.778015,407.707001,407.707001,91212496,7.182007
